country_name_ltn,level,nuts_id,nameSHORT,chart,value2plot,value2plot_id1,value2plot_id2,description
Austria,regional,AT1,East Austria,3,0.34210526315789475,NA,NA,gpp
Austria,regional,AT2,South Austria,3,0.4378238341968912,NA,NA,gpp
Austria,regional,AT3,West Austria,3,0.3984375,NA,NA,gpp
Belgium,regional,BE1,Brussels Region,3,0.41015625,NA,NA,gpp
Belgium,regional,BE2,Flemish Region,3,0.3215686274509804,NA,NA,gpp
Belgium,regional,BE3,Waloon Region,3,0.29218106995884774,NA,NA,gpp
Bulgaria,regional,BG3,North and South-East,3,0.20670391061452514,NA,NA,gpp
Bulgaria,regional,BG4,South -West/-Central,3,0.12324929971988796,NA,NA,gpp
Croatia,regional,HR02,Pannonian Croatia,3,0.1968503937007874,NA,NA,gpp
Croatia,regional,HR03,Adriatic Croatia,3,0.19391634980988592,NA,NA,gpp
Croatia,regional,HR05,Zagreb,3,0.13382899628252787,NA,NA,gpp
Croatia,regional,HR06,Northern Croatia,3,0.20833333333333334,NA,NA,gpp
Cyprus,regional,CY0,Cyprus,3,0.2229038854805726,NA,NA,gpp
Czechia,regional,CZ01,Prague,3,0.232,NA,NA,gpp
Czechia,regional,CZ02,Central Bohemia,3,0.2727272727272727,NA,NA,gpp
Czechia,regional,CZ03,South-West,3,0.17886178861788618,NA,NA,gpp
Czechia,regional,CZ04,North-West,3,0.26717557251908397,NA,NA,gpp
Czechia,regional,CZ05,North-East,3,0.2204724409448819,NA,NA,gpp
Czechia,regional,CZ06,South-East,3,0.19834710743801653,NA,NA,gpp
Czechia,regional,CZ07,Central Moravia,3,0.19672131147540983,NA,NA,gpp
Czechia,regional,CZ08,Moravian Silesia,3,0.21296296296296297,NA,NA,gpp
Denmark,regional,DK01,Capital (region),3,0.6328125,NA,NA,gpp
Denmark,regional,DK02,Zealand,3,0.6209677419354839,NA,NA,gpp
Denmark,regional,DK03,South Denmark,3,0.5730337078651685,NA,NA,gpp
Denmark,regional,DK04,Central Jutland,3,0.5951417004048583,NA,NA,gpp
Denmark,regional,DK05,North Jutland,3,0.5643153526970954,NA,NA,gpp
Estonia,regional,EE0,Estonia,3,0.37153419593345655,NA,NA,gpp
Finland,regional,FI19,West Finland,3,0.46503496503496505,NA,NA,gpp
Finland,regional,FI1B,Helsinki-Uusimaa,3,0.4666666666666667,NA,NA,gpp
Finland,regional,FI1C,South Finland,3,0.5610561056105611,NA,NA,gpp
Finland,regional,FI1D,North and East Finland,3,0.5115384615384615,NA,NA,gpp
France,regional,FR1,Île-de-France,3,0.41841004184100417,NA,NA,gpp
France,regional,FRB,Centre-Val de Loire,3,0.39094650205761317,NA,NA,gpp
France,regional,FRC,Burgundy-Franche-Comté,3,0.36929460580912865,NA,NA,gpp
France,regional,FRD,Normandy,3,0.3386454183266932,NA,NA,gpp
France,regional,FRE,Hauts-de-France,3,0.39147286821705424,NA,NA,gpp
France,regional,FRF,Grand Est,3,0.377431906614786,NA,NA,gpp
France,regional,FRG,Loire Region,3,0.375,NA,NA,gpp
France,regional,FRH,Brittany ,3,0.37446808510638296,NA,NA,gpp
France,regional,FRI,New Aquitaine,3,0.3188976377952756,NA,NA,gpp
France,regional,FRJ,Occitania,3,0.31666666666666665,NA,NA,gpp
France,regional,FRK,Auvergne-Rhône-Alpes,3,0.3319327731092437,NA,NA,gpp
France,regional,FRL,PACA,3,0.33587786259541985,NA,NA,gpp
France,regional,FRM,Corsica ,3,0.30927835051546393,NA,NA,gpp
Germany,regional,DE1,Baden-Württemberg,3,0.5350877192982456,NA,NA,gpp
Germany,regional,DE2,Bavaria,3,0.5271317829457365,NA,NA,gpp
Germany,regional,DE3,Berlin,3,0.4594594594594595,NA,NA,gpp
Germany,regional,DE4,Brandenburg,3,0.452,NA,NA,gpp
Germany,regional,DE5,Bremen,3,0.4866666666666667,NA,NA,gpp
Germany,regional,DE6,Hamburg,3,0.49603174603174605,NA,NA,gpp
Germany,regional,DE7,Hessen,3,0.4548736462093863,NA,NA,gpp
Germany,regional,DE8,Mecklenburg-Vorpommern,3,0.3754646840148699,NA,NA,gpp
Germany,regional,DE9,Lower Saxony,3,0.48863636363636365,NA,NA,gpp
Germany,regional,DEA,North Rhine-Westphalia,3,0.41338582677165353,NA,NA,gpp
Germany,regional,DEB,Rhineland-Palatinate,3,0.42907801418439717,NA,NA,gpp
Germany,regional,DEC,Saarland,3,0.5338645418326693,NA,NA,gpp
Germany,regional,DED,Saxony,3,0.40711462450592883,NA,NA,gpp
Germany,regional,DEE,Saxony-Anhalt,3,0.4,NA,NA,gpp
Germany,regional,DEF,Schleswig-Holstein,3,0.488,NA,NA,gpp
Germany,regional,DEG,Thuringia,3,0.42745098039215684,NA,NA,gpp
Greece,regional,EL3,Attica,3,0.29457364341085274,NA,NA,gpp
Greece,regional,EL4,"Aegean Islands, Crete",3,0.2445414847161572,NA,NA,gpp
Greece,regional,EL5,North Greece,3,0.4280442804428044,NA,NA,gpp
Greece,regional,EL6,Central Greece,3,0.3416666666666667,NA,NA,gpp
Hungary,regional,HU1,Central Hungary,3,0.16996047430830039,NA,NA,gpp
Hungary,regional,HU2,Transdanubia ,3,0.1724137931034483,NA,NA,gpp
Hungary,regional,HU3,Great Plain and North,3,0.18719211822660098,NA,NA,gpp
Ireland,regional,IE04,Northern and Western,3,0.3563218390804598,NA,NA,gpp
Ireland,regional,IE05,Southern,3,0.33796296296296297,NA,NA,gpp
Ireland,regional,IE06,Eastern and Midland,3,0.3373493975903614,NA,NA,gpp
Italy,regional,ITC,North-West,3,0.2275,NA,NA,gpp
Italy,regional,ITF,South,3,0.2892561983471074,NA,NA,gpp
Italy,regional,ITG,Islands,3,0.30446194225721784,NA,NA,gpp
Italy,regional,ITH,North-East,3,0.24675324675324675,NA,NA,gpp
Italy,regional,ITI,Centre,3,0.2613333333333333,NA,NA,gpp
Latvia,regional,LV00,Latvia,3,0.2905811623246493,NA,NA,gpp
Lithuania,regional,LT01,Capital Region,3,0.09946236559139784,NA,NA,gpp
Lithuania,regional,LT02,Central/Western Region,3,0.18230563002680966,NA,NA,gpp
Luxembourg,regional,LU00,Luxembourg,3,0.43853820598006643,NA,NA,gpp
Malta,regional,MT00,Malta,3,0.248,NA,NA,gpp
Netherlands,regional,NL1,North Netherlands,3,0.4820359281437126,NA,NA,gpp
Netherlands,regional,NL2,East Netherlands,3,0.5776081424936387,NA,NA,gpp
Netherlands,regional,NL3,West Netherlands,3,0.5461346633416458,NA,NA,gpp
Netherlands,regional,NL4,South Netherlands,3,0.4680306905370844,NA,NA,gpp
Poland,regional,PL2,Southern,3,0.45429362880886426,NA,NA,gpp
Poland,regional,PL4,North-Western,3,0.49135802469135803,NA,NA,gpp
Poland,regional,PL5,South-Western,3,0.4712328767123288,NA,NA,gpp
Poland,regional,PL6,Northern,3,0.3602150537634409,NA,NA,gpp
Poland,regional,PL7,Central,3,0.3324607329842932,NA,NA,gpp
Poland,regional,PL8,Eastern,3,0.5261780104712042,NA,NA,gpp
Poland,regional,PL9,Mazowieckie,3,0.49865229110512127,NA,NA,gpp
Portugal,regional,PT1,Continental Portugal,3,0.3592592592592593,NA,NA,gpp
Portugal,regional,PT2,Azores,3,0.390625,NA,NA,gpp
Portugal,regional,PT3,Madeira,3,0.53125,NA,NA,gpp
Romania,regional,RO1,Macroregion One,3,0.38920454545454547,NA,NA,gpp
Romania,regional,RO2,Macroregion Two,3,0.369620253164557,NA,NA,gpp
Romania,regional,RO3,Macroregion Three,3,0.36436170212765956,NA,NA,gpp
Romania,regional,RO4,Macroregion Four,3,0.24258760107816713,NA,NA,gpp
Slovakia,regional,SK01,Bratislava,3,0.15841584158415842,NA,NA,gpp
Slovakia,regional,SK02,West Slovakia,3,0.17218543046357615,NA,NA,gpp
Slovakia,regional,SK03,Central Slovakia,3,0.13183279742765272,NA,NA,gpp
Slovakia,regional,SK04,East Slovakia,3,0.21804511278195488,NA,NA,gpp
Slovenia,regional,SI03,East Slovenia,3,0.16104868913857678,NA,NA,gpp
Slovenia,regional,SI04,West Slovenia,3,0.18253968253968253,NA,NA,gpp
Spain,regional,ES1,North-West,3,0.2248995983935743,NA,NA,gpp
Spain,regional,ES2,North-East,3,0.24696356275303644,NA,NA,gpp
Spain,regional,ES3,Madrid,3,0.18972332015810275,NA,NA,gpp
Spain,regional,ES4,Centre,3,0.25196850393700787,NA,NA,gpp
Spain,regional,ES5,East,3,0.21839080459770116,NA,NA,gpp
Spain,regional,ES6,South,3,0.21235521235521235,NA,NA,gpp
Spain,regional,ES7,Canary Islands,3,0.25311203319502074,NA,NA,gpp
Sweden,regional,SE1,Eastern Sweden,3,0.34444444444444444,NA,NA,gpp
Sweden,regional,SE2,Southern Sweden,3,0.3218390804597701,NA,NA,gpp
Sweden,regional,SE3,Northern Sweden,3,0.2896825396825397,NA,NA,gpp
Austria,regional,AT1,East Austria,4,0.46949602122015915,NA,NA,gpp
Austria,regional,AT2,South Austria,4,0.5390625,NA,NA,gpp
Austria,regional,AT3,West Austria,4,0.509090909090909,NA,NA,gpp
Belgium,regional,BE1,Brussels Region,4,0.4409448818897638,NA,NA,gpp
Belgium,regional,BE2,Flemish Region,4,0.36220472440944884,NA,NA,gpp
Belgium,regional,BE3,Waloon Region,4,0.3142857142857143,NA,NA,gpp
Bulgaria,regional,BG3,North and South-East,4,0.14606741573033707,NA,NA,gpp
Bulgaria,regional,BG4,South -West/-Central,4,0.10985915492957747,NA,NA,gpp
Croatia,regional,HR02,Pannonian Croatia,4,0.23015873015873015,NA,NA,gpp
Croatia,regional,HR03,Adriatic Croatia,4,0.19391634980988592,NA,NA,gpp
Croatia,regional,HR05,Zagreb,4,0.1111111111111111,NA,NA,gpp
Croatia,regional,HR06,Northern Croatia,4,0.17154811715481172,NA,NA,gpp
Cyprus,regional,CY0,Cyprus,4,0.261758691206544,NA,NA,gpp
Czechia,regional,CZ01,Prague,4,0.272,NA,NA,gpp
Czechia,regional,CZ02,Central Bohemia,4,0.23333333333333334,NA,NA,gpp
Czechia,regional,CZ03,South-West,4,0.23387096774193547,NA,NA,gpp
Czechia,regional,CZ04,North-West,4,0.2153846153846154,NA,NA,gpp
Czechia,regional,CZ05,North-East,4,0.27559055118110237,NA,NA,gpp
Czechia,regional,CZ06,South-East,4,0.21487603305785125,NA,NA,gpp
Czechia,regional,CZ07,Central Moravia,4,0.21138211382113822,NA,NA,gpp
Czechia,regional,CZ08,Moravian Silesia,4,0.2336448598130841,NA,NA,gpp
Denmark,regional,DK01,Capital (region),4,0.6953125,NA,NA,gpp
Denmark,regional,DK02,Zealand,4,0.6907630522088354,NA,NA,gpp
Denmark,regional,DK03,South Denmark,4,0.6853932584269663,NA,NA,gpp
Denmark,regional,DK04,Central Jutland,4,0.7183673469387755,NA,NA,gpp
Denmark,regional,DK05,North Jutland,4,0.7302904564315352,NA,NA,gpp
Estonia,regional,EE0,Estonia,4,0.40925925925925927,NA,NA,gpp
Finland,regional,FI19,West Finland,4,0.5958188153310104,NA,NA,gpp
Finland,regional,FI1B,Helsinki-Uusimaa,4,0.6016597510373444,NA,NA,gpp
Finland,regional,FI1C,South Finland,4,0.680921052631579,NA,NA,gpp
Finland,regional,FI1D,North and East Finland,4,0.6538461538461539,NA,NA,gpp
France,regional,FR1,Île-de-France,4,0.3983402489626556,NA,NA,gpp
France,regional,FRB,Centre-Val de Loire,4,0.3975409836065574,NA,NA,gpp
France,regional,FRC,Burgundy-Franche-Comté,4,0.3360995850622407,NA,NA,gpp
France,regional,FRD,Normandy,4,0.3147410358565737,NA,NA,gpp
France,regional,FRE,Hauts-de-France,4,0.39768339768339767,NA,NA,gpp
France,regional,FRF,Grand Est,4,0.38132295719844356,NA,NA,gpp
France,regional,FRG,Loire Region,4,0.35344827586206895,NA,NA,gpp
France,regional,FRH,Brittany ,4,0.31932773109243695,NA,NA,gpp
France,regional,FRI,New Aquitaine,4,0.3176470588235294,NA,NA,gpp
France,regional,FRJ,Occitania,4,0.3112033195020747,NA,NA,gpp
France,regional,FRK,Auvergne-Rhône-Alpes,4,0.32217573221757323,NA,NA,gpp
France,regional,FRL,PACA,4,0.36015325670498083,NA,NA,gpp
France,regional,FRM,Corsica ,4,0.30612244897959184,NA,NA,gpp
Germany,regional,DE1,Baden-Württemberg,4,0.5814977973568282,NA,NA,gpp
Germany,regional,DE2,Bavaria,4,0.5914396887159533,NA,NA,gpp
Germany,regional,DE3,Berlin,4,0.6023166023166023,NA,NA,gpp
Germany,regional,DE4,Brandenburg,4,0.4940239043824701,NA,NA,gpp
Germany,regional,DE5,Bremen,4,0.4605263157894737,NA,NA,gpp
Germany,regional,DE6,Hamburg,4,0.5612648221343873,NA,NA,gpp
Germany,regional,DE7,Hessen,4,0.5054545454545455,NA,NA,gpp
Germany,regional,DE8,Mecklenburg-Vorpommern,4,0.4684014869888476,NA,NA,gpp
Germany,regional,DE9,Lower Saxony,4,0.5547169811320755,NA,NA,gpp
Germany,regional,DEA,North Rhine-Westphalia,4,0.4666666666666667,NA,NA,gpp
Germany,regional,DEB,Rhineland-Palatinate,4,0.49469964664310956,NA,NA,gpp
Germany,regional,DEC,Saarland,4,0.5551181102362205,NA,NA,gpp
Germany,regional,DED,Saxony,4,0.43253968253968256,NA,NA,gpp
Germany,regional,DEE,Saxony-Anhalt,4,0.468,NA,NA,gpp
Germany,regional,DEF,Schleswig-Holstein,4,0.5461847389558233,NA,NA,gpp
Germany,regional,DEG,Thuringia,4,0.45703125,NA,NA,gpp
Greece,regional,EL3,Attica,4,0.3488372093023256,NA,NA,gpp
Greece,regional,EL4,"Aegean Islands, Crete",4,0.329004329004329,NA,NA,gpp
Greece,regional,EL5,North Greece,4,0.3948339483394834,NA,NA,gpp
Greece,regional,EL6,Central Greece,4,0.39166666666666666,NA,NA,gpp
Hungary,regional,HU1,Central Hungary,4,0.1803921568627451,NA,NA,gpp
Hungary,regional,HU2,Transdanubia ,4,0.1630901287553648,NA,NA,gpp
Hungary,regional,HU3,Great Plain and North,4,0.20149253731343283,NA,NA,gpp
Ireland,regional,IE04,Northern and Western,4,0.4161849710982659,NA,NA,gpp
Ireland,regional,IE05,Southern,4,0.4212962962962963,NA,NA,gpp
Ireland,regional,IE06,Eastern and Midland,4,0.43373493975903615,NA,NA,gpp
Italy,regional,ITC,North-West,4,0.2875,NA,NA,gpp
Italy,regional,ITF,South,4,0.3305785123966942,NA,NA,gpp
Italy,regional,ITG,Islands,4,0.35958005249343833,NA,NA,gpp
Italy,regional,ITH,North-East,4,0.26098191214470284,NA,NA,gpp
Italy,regional,ITI,Centre,4,0.328,NA,NA,gpp
Latvia,regional,LV00,Latvia,4,0.274,NA,NA,gpp
Lithuania,regional,LT01,Capital Region,4,0.09651474530831099,NA,NA,gpp
Lithuania,regional,LT02,Central/Western Region,4,0.18548387096774194,NA,NA,gpp
Luxembourg,regional,LU00,Luxembourg,4,0.5149501661129569,NA,NA,gpp
Malta,regional,MT00,Malta,4,0.308,NA,NA,gpp
Netherlands,regional,NL1,North Netherlands,4,0.48955223880597015,NA,NA,gpp
Netherlands,regional,NL2,East Netherlands,4,0.5532994923857868,NA,NA,gpp
Netherlands,regional,NL3,West Netherlands,4,0.6184538653366584,NA,NA,gpp
Netherlands,regional,NL4,South Netherlands,4,0.49104859335038364,NA,NA,gpp
Poland,regional,PL2,Southern,4,0.4325068870523416,NA,NA,gpp
Poland,regional,PL4,North-Western,4,0.5160493827160494,NA,NA,gpp
Poland,regional,PL5,South-Western,4,0.4712328767123288,NA,NA,gpp
Poland,regional,PL6,Northern,4,0.3682795698924731,NA,NA,gpp
Poland,regional,PL7,Central,4,0.3648293963254593,NA,NA,gpp
Poland,regional,PL8,Eastern,4,0.5275590551181102,NA,NA,gpp
Poland,regional,PL9,Mazowieckie,4,0.5081081081081081,NA,NA,gpp
Portugal,regional,PT1,Continental Portugal,4,0.3592592592592593,NA,NA,gpp
Portugal,regional,PT2,Azores,4,0.35294117647058826,NA,NA,gpp
Portugal,regional,PT3,Madeira,4,0.515625,NA,NA,gpp
Romania,regional,RO1,Macroregion One,4,0.42450142450142453,NA,NA,gpp
Romania,regional,RO2,Macroregion Two,4,0.45569620253164556,NA,NA,gpp
Romania,regional,RO3,Macroregion Three,4,0.3696808510638298,NA,NA,gpp
Romania,regional,RO4,Macroregion Four,4,0.2761394101876676,NA,NA,gpp
Slovakia,regional,SK01,Bratislava,4,0.12871287128712872,NA,NA,gpp
Slovakia,regional,SK02,West Slovakia,4,0.15,NA,NA,gpp
Slovakia,regional,SK03,Central Slovakia,4,0.13548387096774195,NA,NA,gpp
Slovakia,regional,SK04,East Slovakia,4,0.18796992481203006,NA,NA,gpp
Slovenia,regional,SI03,East Slovenia,4,0.1797752808988764,NA,NA,gpp
Slovenia,regional,SI04,West Slovenia,4,0.1746031746031746,NA,NA,gpp
Spain,regional,ES1,North-West,4,0.27530364372469635,NA,NA,gpp
Spain,regional,ES2,North-East,4,0.3117408906882591,NA,NA,gpp
Spain,regional,ES3,Madrid,4,0.29365079365079366,NA,NA,gpp
Spain,regional,ES4,Centre,4,0.3110236220472441,NA,NA,gpp
Spain,regional,ES5,East,4,0.2681992337164751,NA,NA,gpp
Spain,regional,ES6,South,4,0.28076923076923077,NA,NA,gpp
Spain,regional,ES7,Canary Islands,4,0.2987551867219917,NA,NA,gpp
Sweden,regional,SE1,Eastern Sweden,4,0.46096654275092935,NA,NA,gpp
Sweden,regional,SE2,Southern Sweden,4,0.4618320610687023,NA,NA,gpp
Sweden,regional,SE3,Northern Sweden,4,0.43873517786561267,NA,NA,gpp
Austria,regional,AT1,East Austria,7,0.48148148148148145,NA,NA,gpp
Austria,regional,AT2,South Austria,7,0.5,NA,NA,gpp
Austria,regional,AT3,West Austria,7,0.5116279069767442,NA,NA,gpp
Belgium,regional,BE1,Brussels Region,7,0.48828125,NA,NA,gpp
Belgium,regional,BE2,Flemish Region,7,0.40784313725490196,NA,NA,gpp
Belgium,regional,BE3,Waloon Region,7,0.3170731707317073,NA,NA,gpp
Bulgaria,regional,BG3,North and South-East,7,0.33053221288515405,NA,NA,gpp
Bulgaria,regional,BG4,South -West/-Central,7,0.18662952646239556,NA,NA,gpp
Croatia,regional,HR02,Pannonian Croatia,7,0.3803921568627451,NA,NA,gpp
Croatia,regional,HR03,Adriatic Croatia,7,0.32954545454545453,NA,NA,gpp
Croatia,regional,HR05,Zagreb,7,0.30970149253731344,NA,NA,gpp
Croatia,regional,HR06,Northern Croatia,7,0.36401673640167365,NA,NA,gpp
Cyprus,regional,CY0,Cyprus,7,0.3040816326530612,NA,NA,gpp
Czechia,regional,CZ01,Prague,7,0.288,NA,NA,gpp
