country_name_ltn,level,nuts_id,nameSHORT,chart_id,target_var,demographic,value2plot,count
Belgium,regional,BE2,Flemish Region,R1F3,JSE_polinfluence,18-24,NA,23
Bulgaria,regional,BG3,North and South-East,R1F3,JSE_polinfluence,18-24,NA,24
Croatia,regional,HR02,Pannonian Croatia,R1F3,JSE_polinfluence,18-24,NA,29
Croatia,regional,HR03,Adriatic Croatia,R1F3,JSE_polinfluence,18-24,NA,17
Croatia,regional,HR05,Zagreb,R1F3,JSE_polinfluence,18-24,NA,15
Croatia,regional,HR06,Northern Croatia,R1F3,JSE_polinfluence,18-24,NA,25
Czechia,regional,CZ01,Prague,R1F3,JSE_polinfluence,+65,NA,24
Czechia,regional,CZ01,Prague,R1F3,JSE_polinfluence,18-24,NA,9
Czechia,regional,CZ01,Prague,R1F3,JSE_polinfluence,25-34,NA,23
Czechia,regional,CZ01,Prague,R1F3,JSE_polinfluence,45-54,NA,23
Czechia,regional,CZ01,Prague,R1F3,JSE_polinfluence,55-64,NA,13
Czechia,regional,CZ0506,North-East and South-East,R1F3,JSE_polinfluence,18-24,NA,20
Czechia,regional,CZ0708,Central Moravia and Silesia,R1F3,JSE_polinfluence,18-24,NA,19
Denmark,regional,DK02,Zealand,R1F3,JSE_polinfluence,18-24,NA,25
Denmark,regional,DK05,North Jutland,R1F3,JSE_polinfluence,18-24,NA,15
Finland,regional,FI1C20,South Finland and Åland,R1F3,JSE_polinfluence,18-24,NA,22
Finland,regional,FI1D,North and East Finland,R1F3,JSE_polinfluence,18-24,NA,24
France,regional,FRB,Centre-Val de Loire,R1F3,JSE_polinfluence,18-24,NA,22
France,regional,FRB,Centre-Val de Loire,R1F3,JSE_polinfluence,25-34,NA,26
France,regional,FRC,Burgundy-Franche-Comté,R1F3,JSE_polinfluence,18-24,NA,23
France,regional,FRD,Normandy,R1F3,JSE_polinfluence,18-24,NA,21
France,regional,FRF,Grand Est,R1F3,JSE_polinfluence,18-24,NA,21
France,regional,FRG,Loire Region,R1F3,JSE_polinfluence,18-24,NA,19
France,regional,FRH,Brittany ,R1F3,JSE_polinfluence,18-24,NA,24
France,regional,FRH,Brittany ,R1F3,JSE_polinfluence,25-34,NA,24
France,regional,FRI,New Aquitaine,R1F3,JSE_polinfluence,18-24,NA,25
France,regional,FRJ,Occitania,R1F3,JSE_polinfluence,18-24,NA,22
France,regional,FRJ,Occitania,R1F3,JSE_polinfluence,25-34,NA,24
France,regional,FRK,Auvergne-Rhône-Alpes,R1F3,JSE_polinfluence,18-24,NA,19
France,regional,FRK,Auvergne-Rhône-Alpes,R1F3,JSE_polinfluence,25-34,NA,29
France,regional,FRL,PACA,R1F3,JSE_polinfluence,18-24,NA,27
France,regional,FRL,PACA,R1F3,JSE_polinfluence,25-34,NA,29
